date	referrer	tiles
2017-06-01	Pokemon Go fansite	24347053
2017-06-01	Other	8895261
2017-06-01	Wikipedia	1224630
2017-06-01	Wikimedia Labs	1140632
2017-06-01	Wikivoyage	214728
2017-06-01	Other Wikimedia projects	48757
2017-06-01	Wikidata Query Service	19204
2017-06-02	Pokemon Go fansite	21528018
2017-06-02	Other	8431090
2017-06-02	Wikipedia	1783692
2017-06-02	Wikimedia Labs	1059967
2017-06-02	Wikivoyage	186250
2017-06-02	Other Wikimedia projects	38729
2017-06-02	Wikidata Query Service	18158
2017-06-03	Pokemon Go fansite	24341864
2017-06-03	Other	10119104
2017-06-03	Wikipedia	1475500
2017-06-03	Wikimedia Labs	913711
2017-06-03	Wikivoyage	167956
2017-06-03	Other Wikimedia projects	38868
2017-06-03	Wikidata Query Service	14377
2017-06-04	Pokemon Go fansite	28387854
2017-06-04	Other	21353211
2017-06-04	Wikipedia	1684917
2017-06-04	Wikimedia Labs	1031812
2017-06-04	Wikivoyage	230381
2017-06-04	Other Wikimedia projects	46853
2017-06-04	Wikidata Query Service	20047
2017-06-05	Pokemon Go fansite	22849878
2017-06-05	Other	9676618
2017-06-05	Wikipedia	2047299
2017-06-05	Wikimedia Labs	1321010
2017-06-05	Wikivoyage	259877
2017-06-05	Other Wikimedia projects	52838
2017-06-05	Wikidata Query Service	17326
2017-06-06	Other	28767487
2017-06-06	Pokemon Go fansite	22661101
2017-06-06	Wikipedia	2081706
2017-06-06	Wikimedia Labs	1245919
2017-06-06	Wikivoyage	243568
2017-06-06	Other Wikimedia projects	61668
2017-06-06	Wikidata Query Service	20348
2017-06-07	Pokemon Go fansite	22253842
2017-06-07	Other	9520852
2017-06-07	Wikipedia	2021571
2017-06-07	Wikimedia Labs	1247167
2017-06-07	Wikivoyage	249896
2017-06-07	Other Wikimedia projects	56549
2017-06-07	Wikidata Query Service	25984
2017-06-08	Pokemon Go fansite	21792846
2017-06-08	Other	4346276
2017-06-08	Wikipedia	1898513
2017-06-08	Wikimedia Labs	1156056
2017-06-08	Wikivoyage	215783
2017-06-08	Other Wikimedia projects	49989
2017-06-08	Wikidata Query Service	25841
2017-06-09	Pokemon Go fansite	23098236
2017-06-09	Other	5691636
2017-06-09	Wikipedia	1797837
2017-06-09	Wikimedia Labs	1102007
2017-06-09	Wikivoyage	230729
2017-06-09	Other Wikimedia projects	40657
2017-06-09	Wikidata Query Service	13851
2017-06-10	Pokemon Go fansite	27839378
2017-06-10	Other	8111302
2017-06-10	Wikipedia	1341067
2017-06-10	Wikimedia Labs	895730
2017-06-10	Wikivoyage	178394
2017-06-10	Other Wikimedia projects	45743
2017-06-10	Wikidata Query Service	13242
2017-06-11	Pokemon Go fansite	27030816
2017-06-11	Other	3715867
2017-06-11	Wikipedia	1519747
2017-06-11	Wikimedia Labs	972912
2017-06-11	Wikivoyage	207538
2017-06-11	Other Wikimedia projects	41731
2017-06-11	Wikidata Query Service	19300
2017-06-12	Pokemon Go fansite	21197070
2017-06-12	Other	9341717
2017-06-12	Wikipedia	1904950
2017-06-12	Wikimedia Labs	1263862
2017-06-12	Wikivoyage	232689
2017-06-12	Wikidata Query Service	60371
2017-06-12	Other Wikimedia projects	48940
2017-06-13	Pokemon Go fansite	24377648
2017-06-13	Other	4701428
2017-06-13	Wikipedia	1933565
2017-06-13	Wikimedia Labs	1200293
2017-06-13	Wikivoyage	242080
2017-06-13	Other Wikimedia projects	68301
2017-06-13	Wikidata Query Service	40703
2017-06-14	Pokemon Go fansite	41345452
2017-06-14	Other	4863664
2017-06-14	Wikipedia	1888157
2017-06-14	Wikimedia Labs	1118829
2017-06-14	Wikivoyage	222126
2017-06-14	Other Wikimedia projects	53930
2017-06-14	Wikidata Query Service	27530
2017-06-15	Pokemon Go fansite	34290468
2017-06-15	Other	5431326
2017-06-15	Wikipedia	1840624
2017-06-15	Wikimedia Labs	1114424
2017-06-15	Wikivoyage	219702
2017-06-15	Other Wikimedia projects	40993
2017-06-15	Wikidata Query Service	23155
2017-06-16	Pokemon Go fansite	33331461
2017-06-16	Other	17408554
2017-06-16	Wikipedia	1828670
2017-06-16	Wikimedia Labs	1040664
2017-06-16	Wikivoyage	211521
2017-06-16	Other Wikimedia projects	54412
2017-06-16	Wikidata Query Service	9754
2017-06-17	Pokemon Go fansite	37316719
2017-06-17	Other	6782380
2017-06-17	Wikipedia	1433017
2017-06-17	Wikimedia Labs	873076
2017-06-17	Wikivoyage	203206
2017-06-17	Other Wikimedia projects	45302
2017-06-17	Wikidata Query Service	11424
2017-06-18	Pokemon Go fansite	36660202
2017-06-18	Other	3875007
2017-06-18	Wikipedia	1586012
2017-06-18	Wikimedia Labs	964946
2017-06-18	Wikivoyage	217550
2017-06-18	Other Wikimedia projects	49036
2017-06-18	Wikidata Query Service	4902
2017-06-19	Pokemon Go fansite	29490235
2017-06-19	Other	3893125
2017-06-19	Wikipedia	1934025
2017-06-19	Wikimedia Labs	1255551
2017-06-19	Wikivoyage	247063
2017-06-19	Other Wikimedia projects	120719
2017-06-19	Wikidata Query Service	19094
2017-06-20	Pokemon Go fansite	29304239
2017-06-20	Other	5151657
2017-06-20	Wikipedia	1794018
2017-06-20	Wikimedia Labs	1210428
2017-06-20	Wikivoyage	224142
2017-06-20	Other Wikimedia projects	50087
2017-06-20	Wikidata Query Service	18903
2017-06-21	Pokemon Go fansite	27358002
2017-06-21	Other	5748793
2017-06-21	Wikipedia	1771012
2017-06-21	Wikimedia Labs	1126637
2017-06-21	Wikivoyage	217085
2017-06-21	Other Wikimedia projects	57417
2017-06-21	Wikidata Query Service	22410
2017-06-22	Pokemon Go fansite	19173003
2017-06-22	Other	18703547
2017-06-22	Wikipedia	1796063
2017-06-22	Wikimedia Labs	1163140
2017-06-22	Wikivoyage	196870
2017-06-22	Other Wikimedia projects	71892
2017-06-22	Wikidata Query Service	17883
2017-06-23	Pokemon Go fansite	13925465
2017-06-23	Other	8140484
2017-06-23	Wikipedia	1677711
2017-06-23	Wikimedia Labs	1070781
2017-06-23	Wikivoyage	194969
