feature	wiki	total_articles	instanced_articles	total_instances
mapframe	ruwiki	5347766	49	49
mapframe	cawiki	1371376	149006	149446
mapframe	hewiki	894976	6740	6741
mapframe	mkwiki	412591	3	3
mapframe	frwiki	8891803	1795	1812
mapframe	fiwiki	1132465	852	853
mapframe	nowiki	1226332	8	9
mapframe	svwiki	7593348	15	15
mapframe	cswiki	1032945	0	0
mapframe	mediawikiwiki	590619	19	28
mapframe	metawiki	10266330	8	8
mapframe	commonswiki	56266847	5	5
mapframe	dewikivoyage	67069	1041	1043
mapframe	elwikivoyage	2465	2	2
mapframe	enwikivoyage	135201	5501	5555
mapframe	eswikivoyage	8539	365	371
mapframe	fawikivoyage	19184	2	2
mapframe	fiwikivoyage	3705	123	123
mapframe	frwikivoyage	20928	5957	5958
mapframe	itwikivoyage	29e3	0	0
mapframe	nlwikivoyage	11554	1	5
mapframe	plwikivoyage	6846	1	1
mapframe	ptwikivoyage	7304	0	0
mapframe	rowikivoyage	2533	0	0
mapframe	ruwikivoyage	14482	2491	2507
mapframe	svwikivoyage	10405	0	0
mapframe	ukwikivoyage	1651	0	0
mapframe	viwikivoyage	3609	15	15
mapframe	zhwikivoyage	10581	1	1
maplink	mediawikiwiki	590620	2	14
maplink	metawiki	10266325	2	2
maplink	commonswiki	56266939	9584586	9649097
maplink	dewikivoyage	67069	6717	80748
maplink	elwikivoyage	2465	10	13
maplink	enwikivoyage	135201	10652	130224
maplink	eswikivoyage	8539	102	204
maplink	fawikivoyage	19184	0	0
maplink	fiwikivoyage	3705	184	1508
maplink	frwikivoyage	20928	6246	44255
maplink	hewikivoyage	12221	0	0
maplink	itwikivoyage	29e3	1834	25841
maplink	nlwikivoyage	11554	0	0
maplink	plwikivoyage	6846	0	0
maplink	ptwikivoyage	7304	0	0
maplink	rowikivoyage	2533	0	0
maplink	ruwikivoyage	14482	2492	21676
maplink	svwikivoyage	10405	0	0
maplink	ukwikivoyage	1651	0	0
maplink	viwikivoyage	3609	17	84
maplink	zhwikivoyage	10581	0	0
maplink	aawiki	509	0	0
maplink	abwiki	5940	0	0
maplink	acewiki	11839	0	0
maplink	adywiki	1046	0	0
maplink	afwiki	110136	0	0
maplink	akwiki	2043	0	0
maplink	alswiki	50212	0	0
maplink	amwiki	43316	0	0
maplink	angwiki	14018	0	0
maplink	anwiki	103528	0	0
maplink	arcwiki	5882	0	0
maplink	arwiki	2958637	50101	50144
maplink	arzwiki	141463	0	0
maplink	astwiki	79114	0	0
maplink	aswiki	37601	0	0
maplink	avwiki	8658	396	405
maplink	aywiki	7451	0	0
maplink	azbwiki	44914	0	0
maplink	azwiki	319472	0	0
maplink	barwiki	90370	0	0
maplink	bat_smgwiki	27050	0	0
maplink	bawiki	113456	13084	30180
maplink	bclwiki	12083	0	0
maplink	bewiki	439904	45135	49807
maplink	bgwiki	517047	0	0
maplink	bhwiki	43164	0	0
maplink	biwiki	2789	0	0
maplink	bjnwiki	12017	0	0
maplink	bmwiki	2258	0	0
maplink	bnwiki	524951	3	3
maplink	bowiki	15713	0	0
maplink	bpywiki	57906	0	0
maplink	brwiki	123648	0	0
maplink	bswiki	353801	0	0
maplink	bugwiki	18519	0	0
maplink	bxrwiki	7274	0	0
maplink	cawiki	1371384	0	0
maplink	cbk_zamwiki	5178	0	0
maplink	cdowiki	25612	0	0
maplink	cebwiki	8522269	0	0
maplink	cewiki	186054	73713	73758
maplink	chowiki	201	0	0
maplink	chrwiki	3410	0	0
maplink	chwiki	2236	0	0
maplink	chywiki	2133	0	0
maplink	ckbwiki	110851	0	0
maplink	cowiki	12406	0	0
maplink	crhwiki	18762	0	0
maplink	crwiki	2136	0	0
maplink	csbwiki	8297	0	0
maplink	cswiki	1032949	0	0
maplink	cuwiki	4465	0	0
maplink	cvwiki	67964	0	0
maplink	cywiki	202960	0	0
maplink	dawiki	776553	0	0
maplink	dewiki	5921177	1	1
maplink	dinwiki	190	0	0
maplink	diqwiki	25831	0	0
maplink	dsbwiki	10454	0	0
maplink	dtywiki	5672	0	0
maplink	dvwiki	10358	0	0
maplink	dzwiki	1742	0	0
maplink	eewiki	2598	0	0
maplink	elwiki	411157	0	0
maplink	emlwiki	27408	0	0
maplink	enwiki	42736447	625	812
maplink	eowiki	527558	0	0
maplink	eswiki	5947584	0	0
maplink	etwiki	404757	0	0
maplink	euwiki	694190	0	0
maplink	extwiki	6795	0	0
maplink	fawiki	3606877	1	1
maplink	ffwiki	1713	0	0
maplink	fiu_vrowiki	9944	0	0
maplink	fiwiki	1132480	0	0
maplink	fjwiki	1927	0	0
maplink	fowiki	37588	0	0
maplink	frpwiki	6625	0	0
maplink	frrwiki	17683	0	0
maplink	frwiki	8891941	386122	580391
maplink	furwiki	7242	0	0
maplink	fywiki	110783	0	0
maplink	gagwiki	6202	0	0
maplink	ganwiki	33162	0	0
maplink	gawiki	68867	0	0
maplink	gdwiki	29891	0	0
maplink	glkwiki	11958	0	0
maplink	glwiki	342059	0	0
maplink	gnwiki	7515	0	0
maplink	gomwiki	7256	0	0
maplink	gotwiki	3222	0	0
maplink	guwiki	71508	0	0
maplink	gvwiki	16778	0	0
maplink	hakwiki	15198	0	0
maplink	hawiki	3558	0	0
maplink	hawwiki	3973	0	0
maplink	hewiki	894986	0	0
maplink	hifwiki	27830	0	0
maplink	hiwiki	673590	0	0
maplink	howiki	128	0	0
maplink	hrwiki	468213	0	0
maplink	hsbwiki	30557	0	0
maplink	htwiki	62806	0	0
maplink	huwiki	1193644	0	0
maplink	hywiki	758778	0	0
maplink	hzwiki	175	0	0
maplink	iawiki	32677	0	0
maplink	idwiki	2198491	0	0
maplink	iewiki	5966	0	0
maplink	igwiki	5235	0	0
maplink	iiwiki	189	0	0
maplink	ikwiki	2247	0	0
maplink	ilowiki	45540	10	10
maplink	iowiki	40959	0	0
maplink	iswiki	115505	0	0
maplink	itwiki	4867785	11210	11507
maplink	iuwiki	2827	0	0
maplink	jamwiki	2760	0	0
maplink	jawiki	3130845	0	0
maplink	jbowiki	5460	0	0
maplink	jvwiki	132298	0	0
maplink	kaawiki	4700	0	0
maplink	kabwiki	10800	0	0
maplink	kawiki	326359	0	0
maplink	kbdwiki	6585	0	0
maplink	kbpwiki	1562	0	0
maplink	kgwiki	2730	0	0
maplink	kiwiki	2826	0	0
maplink	kjwiki	113	0	0
maplink	kkwiki	507280	1	1
maplink	klwiki	3894	0	0
maplink	kmwiki	24552	0	0
maplink	knwiki	78723	0	0
maplink	koiwiki	7159	0	0
maplink	kowiki	1511807	0	0
maplink	krcwiki	13302	0	0
maplink	krwiki	161	0	0
maplink	kshwiki	10266	0	0
maplink	kswiki	1574	0	0
maplink	kuwiki	58373	0	0
maplink	kvwiki	11268	0	0
maplink	kwwiki	7468	0	0
maplink	kywiki	88288	0	0
maplink	ladwiki	13691	0	0
maplink	lawiki	245772	0	0
maplink	lbewiki	10584	0	0
maplink	lbwiki	109816	0	0
maplink	lezwiki	9607	0	0
maplink	lgwiki	3982	0	0
maplink	lijwiki	13739	0	0
maplink	liwiki	58903	0	0
maplink	lmowiki	94638	0	0
maplink	lnwiki	7743	0	0
maplink	lowiki	7926	0	0
maplink	lrcwiki	8738	0	0
maplink	ltgwiki	2666	0	0
maplink	ltwiki	427277	0	0
maplink	lvwiki	316169	0	0
maplink	maiwiki	25635	0	0
maplink	map_bmswiki	27385	0	0
maplink	mdfwiki	4588	0	0
maplink	mgwiki	218097	0	0
maplink	mhrwiki	21976	0	0
maplink	mhwiki	205	0	0
maplink	minwiki	317185	0	0
maplink	miwiki	12714	0	0
maplink	mkwiki	412592	0	0
maplink	mlwiki	327084	80	80
maplink	mnwiki	55006	0	0
maplink	mowiki	1476	0	0
maplink	mrjwiki	14499	0	0
maplink	mrwiki	198123	0	0
maplink	mswiki	808461	0	0
maplink	mtwiki	14857	0	0
maplink	muswiki	114	0	0
maplink	mwlwiki	9158	0	0
maplink	myvwiki	9194	0	0
maplink	mywiki	72351	0	0
maplink	mznwiki	27053	0	0
maplink	nahwiki	18633	0	0
maplink	napwiki	26287	0	0
maplink	nawiki	4064	0	0
maplink	nds_nlwiki	16690	0	0
maplink	ndswiki	71811	0	0
maplink	newiki	82864	0	0
maplink	newwiki	196124	0	0
maplink	ngwiki	442	0	0
maplink	nlwiki	3803699	0	0
maplink	nnwiki	318119	0	0
maplink	novwiki	4325	0	0
maplink	nowiki	1226337	0	0
maplink	nrmwiki	8060	0	0
maplink	nsowiki	9437	0	0
maplink	nvwiki	13896	0	0
maplink	nywiki	1784	0	0
