date	device	sessions	ctr	bounce_rate	first_action	last_action
2017-05-02	desktop	4701	0.6218	0.3782	search	search
2017-05-02	mobile	3323	0.5131	0.4869	search	search
2017-05-03	desktop	4559	0.6028	0.3972	search	search
2017-05-03	mobile	3182	0.5019	0.4981	search	search
2017-05-04	desktop	4965	0.548	0.452	search	search
2017-05-04	mobile	3149	0.4957	0.5043	search	search
2017-05-05	desktop	4246	0.5951	0.4049	search	search
2017-05-05	mobile	3176	0.5013	0.4987	search	search
2017-05-06	desktop	3362	0.541	0.459	search	search
2017-05-06	mobile	3318	0.5112	0.4888	search	search
2017-05-07	desktop	3498	0.5463	0.4537	search	search
2017-05-07	mobile	3473	0.5252	0.4748	search	search
2017-05-08	desktop	4759	0.6211	0.3789	search	search
2017-05-08	mobile	3405	0.5213	0.4787	search	search
2017-05-09	desktop	4702	0.6117	0.3883	search	search
2017-05-09	mobile	3059	0.5011	0.4989	search	search
2017-05-10	desktop	4661	0.6046	0.3954	search	search
2017-05-10	mobile	3028	0.4993	0.5007	search	search
2017-05-11	desktop	4658	0.6106	0.3894	search	search
2017-05-11	mobile	3091	0.5192	0.4808	search	search
2017-05-12	desktop	4483	0.5918	0.4082	search	search
2017-05-12	mobile	3202	0.505	0.495	search	search
2017-05-13	desktop	3520	0.5239	0.4761	search	search
2017-05-13	mobile	3219	0.5191	0.4809	search	search
2017-05-14	desktop	3438	0.5454	0.4546	search	search
2017-05-14	mobile	3500	0.5431	0.4569	search	search
2017-05-15	desktop	4718	0.6221	0.3779	search	search
2017-05-15	mobile	3348	0.5155	0.4845	search	search
2017-05-16	desktop	4748	0.5973	0.4027	search	search
2017-05-16	mobile	3201	0.5055	0.4945	search	search
2017-05-17	desktop	5124	0.5459	0.4541	search	search
2017-05-17	mobile	3202	0.5037	0.4963	search	search
2017-05-18	desktop	4743	0.6087	0.3913	search	search
2017-05-18	mobile	3198	0.5253	0.4747	search	search
2017-05-19	desktop	4357	0.6013	0.3987	search	search
2017-05-19	mobile	3181	0.4857	0.5143	search	search
2017-05-20	desktop	3417	0.5192	0.4808	search	search
2017-05-20	mobile	3181	0.5225	0.4775	search	search
2017-05-21	desktop	3521	0.5399	0.4601	search	search
2017-05-21	mobile	3515	0.5411	0.4589	search	search
2017-05-22	desktop	4754	0.6056	0.3944	search	search
2017-05-22	mobile	3235	0.5122	0.4878	search	search
2017-05-23	desktop	4790	0.6096	0.3904	search	search
2017-05-23	mobile	3096	0.5178	0.4822	search	search
2017-05-24	desktop	4570	0.6068	0.3932	search	search
2017-05-24	mobile	3198	0.5159	0.4841	search	search
2017-05-25	desktop	4477	0.5819	0.4181	search	search
2017-05-25	mobile	3043	0.5081	0.4919	search	search
2017-05-26	desktop	4040	0.5827	0.4173	search	search
2017-05-26	mobile	3020	0.5136	0.4864	search	search
2017-05-27	desktop	3237	0.5125	0.4875	search	search
2017-05-27	mobile	3189	0.5227	0.4773	search	search
2017-05-28	desktop	3242	0.533	0.467	search	search
2017-05-28	mobile	3255	0.5475	0.4525	search	search
2017-05-29	desktop	3982	0.5681	0.4319	search	search
2017-05-29	mobile	3259	0.5695	0.4305	search	search
2017-05-30	desktop	4663	0.6125	0.3875	search	search
2017-05-30	mobile	3225	0.5274	0.4726	search	search
2017-05-31	desktop	4399	0.6226	0.3774	search	search
2017-05-31	mobile	2997	0.5295	0.4705	search	search
2017-06-01	desktop	4092	0.6366	0.3634	search	search
2017-06-01	mobile	3092	0.5162	0.4838	search	search
2017-06-02	desktop	3947	0.6103	0.3897	search	search
2017-06-02	mobile	3043	0.5025	0.4975	search	search
2017-06-03	desktop	2993	0.573	0.427	search	search
2017-06-03	mobile	3103	0.5314	0.4686	search	search
2017-06-04	desktop	3167	0.5737	0.4263	search	search
2017-06-04	mobile	3375	0.5529	0.4471	search	search
2017-06-05	desktop	4259	0.6309	0.3691	search	search
2017-06-05	mobile	3248	0.5262	0.4738	search	search
2017-06-06	desktop	4971	0.5562	0.4438	search	search
2017-06-06	mobile	3074	0.5215	0.4785	search	search
2017-06-07	desktop	5132	0.5475	0.4525	search	search
2017-06-07	mobile	3022	0.5159	0.4841	search	search
2017-06-08	desktop	4651	0.5668	0.4332	search	search
2017-06-08	mobile	2984	0.5171	0.4829	search	search
2017-06-09	desktop	4715	0.5376	0.4624	search	search
2017-06-09	mobile	2986	0.5064	0.4936	search	search
2017-06-10	desktop	3725	0.4596	0.5404	search	search
2017-06-10	mobile	3188	0.5358	0.4642	search	search
2017-06-11	desktop	3816	0.478	0.522	search	search
2017-06-11	mobile	3375	0.5556	0.4444	search	search
2017-06-12	desktop	4972	0.5607	0.4393	search	search
2017-06-12	mobile	3293	0.5311	0.4689	search	search
2017-06-13	desktop	5019	0.5258	0.4742	search	search
2017-06-13	mobile	3156	0.5044	0.4956	search	search
2017-06-14	desktop	4791	0.5444	0.4556	search	search
2017-06-14	mobile	3083	0.5154	0.4846	search	search
2017-06-15	desktop	4646	0.5441	0.4559	search	search
2017-06-15	mobile	3030	0.5211	0.4789	search	search
2017-06-16	desktop	4365	0.5237	0.4763	search	search
2017-06-16	mobile	2896	0.5035	0.4965	search	search
2017-06-17	desktop	3572	0.4619	0.5381	search	search
2017-06-17	mobile	3134	0.5211	0.4789	search	search
2017-06-18	desktop	3641	0.4721	0.5279	search	search
2017-06-18	mobile	3218	0.5438	0.4562	search	search
2017-06-19	desktop	4667	0.5552	0.4448	search	search
2017-06-19	mobile	3107	0.5452	0.4548	search	search
2017-06-20	desktop	4719	0.5429	0.4571	search	search
2017-06-20	mobile	2974	0.5161	0.4839	search	search
2017-06-21	desktop	4631	0.5578	0.4422	search	search
2017-06-21	mobile	3074	0.5286	0.4714	search	search
2017-06-22	desktop	4855	0.5444	0.4556	search	search
2017-06-22	mobile	2967	0.5116	0.4884	search	search
2017-06-23	desktop	4452	0.5229	0.4771	search	search
2017-06-23	mobile	2997	0.5215	0.4785	search	search
2017-06-24	desktop	3608	0.4615	0.5385	search	search
2017-06-24	mobile	3080	0.5331	0.4669	search	search
2017-06-25	desktop	3623	0.4673	0.5327	search	search
2017-06-25	mobile	3325	0.5516	0.4484	search	search
2017-06-26	desktop	4709	0.5562	0.4438	search	search
2017-06-26	mobile	3129	0.5254	0.4746	search	search
2017-06-27	desktop	4654	0.5451	0.4549	search	search
2017-06-27	mobile	3074	0.5029	0.4971	search	search
2017-06-28	desktop	4622	0.5472	0.4528	search	search
2017-06-28	mobile	3116	0.5022	0.4978	search	search
2017-06-29	desktop	4522	0.5402	0.4598	search	search
2017-06-29	mobile	3068	0.5189	0.4811	search	search
2017-06-30	desktop	4424	0.5127	0.4873	search	search
2017-06-30	mobile	3026	0.5215	0.4785	search	search
2017-07-01	desktop	3468	0.4599	0.5401	search	search
2017-07-01	mobile	3282	0.5344	0.4656	search	search
2017-07-02	desktop	3317	0.4781	0.5219	search	search
2017-07-02	mobile	3207	0.546	0.454	search	search
2017-07-03	desktop	4318	0.5428	0.4572	search	search
2017-07-03	mobile	3240	0.5343	0.4657	search	search
2017-07-04	desktop	3966	0.4927	0.5073	search	search
2017-07-04	mobile	3146	0.5559	0.4441	search	search
2017-07-05	desktop	4559	0.5293	0.4707	search	search
2017-07-05	mobile	3135	0.5244	0.4756	search	search
2017-07-06	desktop	4573	0.543	0.457	search	search
2017-07-06	mobile	3056	0.5173	0.4827	search	search
2017-07-07	desktop	4081	0.5651	0.4349	search	search
2017-07-07	mobile	3046	0.5197	0.4803	search	search
2017-07-08	desktop	3345	0.5046	0.4954	search	search
2017-07-08	mobile	3258	0.523	0.477	search	search
2017-07-09	desktop	3357	0.5258	0.4742	search	search
2017-07-09	mobile	3368	0.5484	0.4516	search	search
2017-07-10	desktop	4526	0.5745	0.4255	search	search
2017-07-10	mobile	3146	0.5305	0.4695	search	search
2017-07-11	desktop	4692	0.5526	0.4474	search	search
2017-07-11	mobile	3135	0.5088	0.4912	search	search
2017-07-12	desktop	4540	0.5566	0.4434	search	search
2017-07-12	mobile	3171	0.5197	0.4803	search	search
2017-07-13	desktop	4471	0.5677	0.4323	search	search
2017-07-13	mobile	3046	0.5154	0.4846	search	search
2017-07-14	desktop	4167	0.545	0.455	search	search
2017-07-14	mobile	3131	0.5196	0.4804	search	search
2017-07-15	desktop	3432	0.4755	0.5245	search	search
2017-07-15	mobile	3191	0.545	0.455	search	search
2017-07-16	desktop	3745	0.4657	0.5343	search	search
2017-07-16	mobile	3312	0.5525	0.4475	search	search
2017-07-17	desktop	5486	0.4745	0.5255	search	search
2017-07-17	mobile	3098	0.5268	0.4732	search	search
2017-07-18	desktop	4537	0.5814	0.4186	search	search
2017-07-18	mobile	3099	0.5321	0.4679	search	search
2017-07-19	desktop	4373	0.5719	0.4281	search	search
2017-07-19	mobile	3139	0.4982	0.5018	search	search
2017-07-20	desktop	4469	0.5898	0.4102	search	search
