date	sessions	mobile	ctr	bounce_rate	first_action	last_action
2017-05-02	8024	3323	0.5768	0.4232	search	search
2017-05-03	7741	3182	0.5613	0.4387	search	search
2017-05-04	8114	3149	0.5277	0.4723	search	search
2017-05-05	7422	3176	0.555	0.445	search	search
2017-05-06	6680	3318	0.5262	0.4738	search	search
2017-05-07	6971	3473	0.5358	0.4642	search	search
2017-05-08	8164	3405	0.5795	0.4205	search	search
2017-05-09	7761	3059	0.5681	0.4319	search	search
2017-05-10	7689	3028	0.5631	0.4369	search	search
2017-05-11	7749	3091	0.5741	0.4259	search	search
2017-05-12	7685	3202	0.5556	0.4444	search	search
2017-05-13	6739	3219	0.5216	0.4784	search	search
2017-05-14	6938	3500	0.5442	0.4558	search	search
2017-05-15	8066	3348	0.5779	0.4221	search	search
2017-05-16	7949	3201	0.5603	0.4397	search	search
2017-05-17	8326	3202	0.5297	0.4703	search	search
2017-05-18	7941	3198	0.5751	0.4249	search	search
2017-05-19	7538	3181	0.5525	0.4475	search	search
2017-05-20	6598	3181	0.5208	0.4792	search	search
2017-05-21	7036	3515	0.5405	0.4595	search	search
2017-05-22	7989	3235	0.5678	0.4322	search	search
2017-05-23	7886	3096	0.5735	0.4265	search	search
2017-05-24	7768	3198	0.5694	0.4306	search	search
2017-05-25	7520	3043	0.552	0.448	search	search
2017-05-26	7060	3020	0.5531	0.4469	search	search
2017-05-27	6426	3189	0.5176	0.4824	search	search
2017-05-28	6497	3255	0.5402	0.4598	search	search
2017-05-29	7241	3259	0.5687	0.4313	search	search
2017-05-30	7888	3225	0.5777	0.4223	search	search
2017-05-31	7396	2997	0.5849	0.4151	search	search
2017-06-01	7184	3092	0.5848	0.4152	search	search
2017-06-02	6990	3043	0.5634	0.4366	search	search
2017-06-03	6096	3103	0.5518	0.4482	search	search
2017-06-04	6542	3375	0.563	0.437	search	search
2017-06-05	7507	3248	0.5856	0.4144	search	search
2017-06-06	8045	3074	0.5429	0.4571	search	search
2017-06-07	8154	3022	0.5358	0.4642	search	search
2017-06-08	7635	2984	0.5473	0.4527	search	search
2017-06-09	7701	2986	0.5255	0.4745	search	search
2017-06-10	6913	3188	0.4947	0.5053	search	search
2017-06-11	7191	3375	0.5144	0.4856	search	search
2017-06-12	8265	3293	0.5489	0.4511	search	search
2017-06-13	8175	3156	0.5176	0.4824	search	search
2017-06-14	7874	3083	0.533	0.467	search	search
2017-06-15	7676	3030	0.535	0.465	search	search
2017-06-16	7261	2896	0.5156	0.4844	search	search
2017-06-17	6706	3134	0.4896	0.5104	search	search
2017-06-18	6859	3218	0.5058	0.4942	search	search
2017-06-19	7774	3107	0.5512	0.4488	search	search
2017-06-20	7693	2974	0.5326	0.4674	search	search
2017-06-21	7705	3074	0.5461	0.4539	search	search
2017-06-22	7822	2967	0.532	0.468	search	search
2017-06-23	7449	2997	0.5224	0.4776	search	search
2017-06-24	6688	3080	0.4945	0.5055	search	search
2017-06-25	6948	3325	0.5076	0.4924	search	search
2017-06-26	7838	3129	0.5439	0.4561	search	search
2017-06-27	7728	3074	0.5283	0.4717	search	search
2017-06-28	7738	3116	0.5291	0.4709	search	search
2017-06-29	7590	3068	0.5316	0.4684	search	search
2017-06-30	7450	3026	0.5162	0.4838	search	search
2017-07-01	6750	3282	0.4961	0.5039	search	search
2017-07-02	6524	3207	0.5115	0.4885	search	search
2017-07-03	7558	3240	0.5392	0.4608	search	search
2017-07-04	7112	3146	0.5207	0.4793	search	search
2017-07-05	7694	3135	0.5273	0.4727	search	search
2017-07-06	7629	3056	0.5327	0.4673	search	search
2017-07-07	7127	3046	0.5457	0.4543	search	search
2017-07-08	6603	3258	0.5137	0.4863	search	search
2017-07-09	6725	3368	0.5371	0.4629	search	search
2017-07-10	7672	3146	0.5564	0.4436	search	search
2017-07-11	7827	3135	0.5351	0.4649	search	search
2017-07-12	7711	3171	0.5414	0.4586	search	search
2017-07-13	7517	3046	0.5465	0.4535	search	search
2017-07-14	7298	3131	0.5341	0.4659	search	search
2017-07-15	6623	3191	0.509	0.491	search	search
2017-07-16	7057	3312	0.5064	0.4936	search	search
2017-07-17	8584	3098	0.4934	0.5066	search	search
2017-07-18	7636	3099	0.5614	0.4386	search	search
2017-07-19	7512	3139	0.5411	0.4589	search	search
2017-07-20	7697	3228	0.5553	0.4447	search	search
2017-07-21	7305	3059	0.5577	0.4423	search	search
2017-07-22	6780	3311	0.5032	0.4968	search	search
2017-07-23	7019	3489	0.5261	0.4739	search	search
2017-07-24	7822	3183	0.5463	0.4537	search	search
2017-07-25	7658	3089	0.5498	0.4502	search	search
2017-07-26	7473	3066	0.5519	0.4481	search	search
2017-07-27	7442	3116	0.5515	0.4485	search	search
2017-07-28	7529	3066	0.5133	0.4867	search	search
2017-07-29	6519	3192	0.5004	0.4996	search	search
2017-07-30	6613	3290	0.5332	0.4668	search	search
2017-07-31	7577	3200	0.5657	0.4343	search	search
