date	device	pageviews
2017-06-01	mobile	15413762
2017-06-01	desktop	5228073
2017-06-02	mobile	14958355
2017-06-02	desktop	4940641
2017-06-03	mobile	13009865
2017-06-03	desktop	4429204
2017-06-04	mobile	11177777
2017-06-04	desktop	4443073
2017-06-05	mobile	12550864
2017-06-05	desktop	5057746
2017-06-06	mobile	14010049
2017-06-06	desktop	5962418
2017-06-07	mobile	13717536
2017-06-07	desktop	5453189
2017-06-08	mobile	13601518
2017-06-08	desktop	5562406
2017-06-09	mobile	13354310
2017-06-09	desktop	5801510
2017-06-10	mobile	11968959
2017-06-10	desktop	5461321
2017-06-11	mobile	10891072
2017-06-11	desktop	5256634
2017-06-12	mobile	11907171
2017-06-12	desktop	6128402
2017-06-13	mobile	12763147
2017-06-13	desktop	6842901
2017-06-14	mobile	12701720
2017-06-14	desktop	7297820
2017-06-15	mobile	12431398
2017-06-15	desktop	8358567
2017-06-16	mobile	12117288
2017-06-16	desktop	6392800
2017-06-17	mobile	11318503
2017-06-17	desktop	5016623
2017-06-18	mobile	10697813
2017-06-18	desktop	4823946
2017-06-19	mobile	11113415
2017-06-19	desktop	5264975
2017-06-20	mobile	11591768
2017-06-20	desktop	6363115
2017-06-21	mobile	11521511
2017-06-21	desktop	12986622
2017-06-22	mobile	11516861
2017-06-22	desktop	7785614
2017-06-23	mobile	11232418
2017-06-23	desktop	5730757
2017-06-24	mobile	10742200
2017-06-24	desktop	4806023
2017-06-25	mobile	11411750
2017-06-25	desktop	4677057
2017-06-26	mobile	11962370
2017-06-26	desktop	5725642
2017-06-27	mobile	11980570
2017-06-27	desktop	7242356
2017-06-28	mobile	11771081
2017-06-28	desktop	6650126
2017-06-29	mobile	11601858
2017-06-29	desktop	5925576
2017-06-30	mobile	11571795
2017-06-30	desktop	5900630
2017-07-01	mobile	11134087
2017-07-01	desktop	5056295
2017-07-02	mobile	10752977
2017-07-02	desktop	5067120
2017-07-03	mobile	10814158
2017-07-03	desktop	6048847
2017-07-04	mobile	10921737
2017-07-04	desktop	5987836
2017-07-05	mobile	10887895
2017-07-05	desktop	8084268
2017-07-06	mobile	11059927
2017-07-06	desktop	12559765
2017-07-07	mobile	11123093
2017-07-07	desktop	7354962
2017-07-08	mobile	10691251
2017-07-08	desktop	5457921
2017-07-09	mobile	10351118
2017-07-09	desktop	4953670
2017-07-10	mobile	10754140
2017-07-10	desktop	5432060
2017-07-11	mobile	10875785
2017-07-11	desktop	6328720
2017-07-12	mobile	10842310
2017-07-12	desktop	6056635
2017-07-13	mobile	10936305
2017-07-13	desktop	6035713
2017-07-14	mobile	10950842
2017-07-14	desktop	5517094
2017-07-15	mobile	10661853
2017-07-15	desktop	5395871
2017-07-16	mobile	10429901
2017-07-16	desktop	5328717
2017-07-17	mobile	10555265
2017-07-17	desktop	6289856
2017-07-18	mobile	10769668
2017-07-18	desktop	5668321
2017-07-19	mobile	10728274
2017-07-19	desktop	5783827
2017-07-20	mobile	10690176
2017-07-20	desktop	5736267
2017-07-21	mobile	10323796
2017-07-21	desktop	5477724
2017-07-22	mobile	9167612
2017-07-22	desktop	4989293
2017-07-23	mobile	8502217
2017-07-23	desktop	5258546
2017-07-24	mobile	8428638
2017-07-24	desktop	6092557
2017-07-25	mobile	8453748
2017-07-25	desktop	5986262
2017-07-26	mobile	8297289
2017-07-26	desktop	5936155
2017-07-27	mobile	8286469
2017-07-27	desktop	5960802
2017-07-28	mobile	8207079
2017-07-28	desktop	7468465
2017-07-29	mobile	7883196
2017-07-29	desktop	6289395
2017-07-30	mobile	7630651
2017-07-30	desktop	5946523
2017-07-31	mobile	7698560
2017-07-31	desktop	7052552
