date	referrer	pageviews	proportion
2016-03-07	Referred by something other than search engine	304243	2.103
2016-03-07	Referred by a search engine	263501	1.821
2016-03-07	Referred internally (itself or a sister wiki)	1253515	8.663
2016-03-07	Direct (not referred by anything)	12649009	87.414
2016-03-08	Referred by something other than search engine	268003	1.85
2016-03-08	Referred by a search engine	245161	1.693
2016-03-08	Referred internally (itself or a sister wiki)	1228028	8.479
2016-03-08	Direct (not referred by anything)	12742050	87.978
2016-03-09	Referred by something other than search engine	269218	1.961
2016-03-09	Referred by a search engine	220856	1.609
2016-03-09	Referred internally (itself or a sister wiki)	1238575	9.024
2016-03-09	Direct (not referred by anything)	11997006	87.406
2016-03-10	Referred by something other than search engine	274187	2.005
2016-03-10	Referred by a search engine	218869	1.6
2016-03-10	Referred internally (itself or a sister wiki)	1187202	8.68
2016-03-10	Direct (not referred by anything)	11997223	87.715
2016-03-11	Referred by something other than search engine	271219	2.071
2016-03-11	Referred by a search engine	213289	1.628
2016-03-11	Referred internally (itself or a sister wiki)	901094	6.88
2016-03-11	Direct (not referred by anything)	11712594	89.421
2016-03-12	Referred by something other than search engine	218427	1.673
2016-03-12	Referred by a search engine	179794	1.377
2016-03-12	Referred internally (itself or a sister wiki)	743380	5.692
2016-03-12	Direct (not referred by anything)	11917926	91.258
2016-03-13	Referred by something other than search engine	224246	1.683
2016-03-13	Referred by a search engine	173162	1.3
2016-03-13	Referred internally (itself or a sister wiki)	861041	6.463
2016-03-13	Direct (not referred by anything)	12063143	90.553
2016-03-14	Referred by something other than search engine	259928	1.921
2016-03-14	Referred by a search engine	224967	1.662
2016-03-14	Referred internally (itself or a sister wiki)	808264	5.973
2016-03-14	Direct (not referred by anything)	12239327	90.444
2016-03-15	Referred by something other than search engine	271767	1.995
2016-03-15	Referred by a search engine	219129	1.608
2016-03-15	Referred internally (itself or a sister wiki)	833766	6.12
2016-03-15	Direct (not referred by anything)	12299374	90.277
2016-03-16	Referred by something other than search engine	274614	1.921
2016-03-16	Referred by a search engine	221760	1.551
2016-03-16	Referred internally (itself or a sister wiki)	878409	6.145
2016-03-16	Direct (not referred by anything)	12918821	90.382
2016-03-17	Referred by something other than search engine	268053	1.805
2016-03-17	Referred by a search engine	211816	1.426
2016-03-17	Referred internally (itself or a sister wiki)	925730	6.234
2016-03-17	Direct (not referred by anything)	13444036	90.534
2016-03-18	Referred by something other than search engine	255103	1.859
2016-03-18	Referred by a search engine	195447	1.424
2016-03-18	Referred internally (itself or a sister wiki)	763799	5.566
2016-03-18	Direct (not referred by anything)	12507633	91.15
2016-03-19	Referred by something other than search engine	225230	1.751
2016-03-19	Referred by a search engine	142572	1.108
2016-03-19	Referred internally (itself or a sister wiki)	608819	4.732
2016-03-19	Direct (not referred by anything)	11888956	92.409
2016-03-20	Referred by something other than search engine	223510	1.709
2016-03-20	Referred by a search engine	154443	1.181
2016-03-20	Referred internally (itself or a sister wiki)	667362	5.103
2016-03-20	Direct (not referred by anything)	12032874	92.007
2016-03-21	Referred by something other than search engine	255837	1.894
2016-03-21	Referred by a search engine	241847	1.791
2016-03-21	Referred internally (itself or a sister wiki)	765085	5.665
2016-03-21	Direct (not referred by anything)	12243569	90.651
2016-03-22	Referred by something other than search engine	290432	2.108
2016-03-22	Referred by a search engine	258087	1.873
2016-03-22	Referred internally (itself or a sister wiki)	755474	5.482
2016-03-22	Direct (not referred by anything)	12476421	90.537
2016-03-23	Referred by something other than search engine	256487	1.842
2016-03-23	Referred by a search engine	267314	1.92
2016-03-23	Referred internally (itself or a sister wiki)	748048	5.372
2016-03-23	Direct (not referred by anything)	12652776	90.866
2016-03-24	Referred by something other than search engine	243305	1.72
2016-03-24	Referred by a search engine	236213	1.67
2016-03-24	Referred internally (itself or a sister wiki)	768793	5.435
2016-03-24	Direct (not referred by anything)	12897397	91.175
2016-03-25	Referred by something other than search engine	228577	1.652
2016-03-25	Referred by a search engine	203004	1.467
2016-03-25	Referred internally (itself or a sister wiki)	772391	5.582
2016-03-25	Direct (not referred by anything)	12633616	91.299
2016-03-26	Referred by something other than search engine	555447	4.184
2016-03-26	Referred by a search engine	169163	1.274
2016-03-26	Referred internally (itself or a sister wiki)	670927	5.053
2016-03-26	Direct (not referred by anything)	11881515	89.489
2016-03-27	Referred by something other than search engine	304366	2.415
2016-03-27	Referred by a search engine	181690	1.441
2016-03-27	Referred internally (itself or a sister wiki)	656174	5.206
2016-03-27	Direct (not referred by anything)	11462962	90.938
2016-03-28	Referred by something other than search engine	258798	1.963
2016-03-28	Referred by a search engine	229358	1.74
2016-03-28	Referred internally (itself or a sister wiki)	813982	6.174
2016-03-28	Direct (not referred by anything)	11880885	90.123
2016-03-29	Referred by something other than search engine	283137	2.103
2016-03-29	Referred by a search engine	237956	1.767
2016-03-29	Referred internally (itself or a sister wiki)	814934	6.053
2016-03-29	Direct (not referred by anything)	12127760	90.077
2016-03-30	Referred by something other than search engine	294615	0.994
2016-03-30	Referred by a search engine	215049	0.726
2016-03-30	Referred internally (itself or a sister wiki)	768870	2.595
2016-03-30	Direct (not referred by anything)	28346520	95.684
2016-03-31	Referred by something other than search engine	271576	0.836
2016-03-31	Referred by a search engine	207531	0.639
2016-03-31	Referred internally (itself or a sister wiki)	808167	2.488
2016-03-31	Direct (not referred by anything)	31189571	96.036
