date	region	sessions	mobile	ctr	bounce_rate	first_action	last_action
2017-05-02	Australia and New Zealand	126	45	0.6111	0.3889	search	search
2017-05-02	Caribbean	42	25	0.5714	0.4286	search	search
2017-05-02	Central America	120	75	0.425	0.575	search	search
2017-05-02	Central Asia	40	27	0.225	0.775	primary links	primary links
2017-05-02	Eastern Africa	49	40	0.3061	0.6939	search	search
2017-05-02	Eastern Asia	273	95	0.5568	0.4432	search	search
2017-05-02	Eastern Europe	288	127	0.5174	0.4826	search	search
2017-05-02	Melanesia	1	1	0	1	NA	NA
2017-05-02	Micronesia	2	2	1	0	other projects	other projects
2017-05-02	Middle Africa	155	146	0.6129	0.3871	search	search
2017-05-02	Northern Africa	196	162	0.3622	0.6378	search	search
2017-05-02	Northern America	3522	1174	0.728	0.272	search	search
2017-05-02	Northern Europe	936	194	0.4519	0.5481	search	search
2017-05-02	South America	217	122	0.4332	0.5668	search	search
2017-05-02	South-Eastern Asia	391	286	0.335	0.665	search	search
2017-05-02	Southern Africa	65	50	0.3846	0.6154	search	search
2017-05-02	Southern Asia	426	305	0.4531	0.5469	search	search
2017-05-02	Southern Europe	183	66	0.5792	0.4208	search	search
2017-05-02	Western Africa	55	45	0.3091	0.6909	search	search
2017-05-02	Western Asia	222	123	0.3018	0.6982	primary links	search
2017-05-02	Western Europe	668	181	0.5284	0.4716	search	search
2017-05-03	Australia and New Zealand	122	49	0.6148	0.3852	search	search
2017-05-03	Caribbean	42	28	0.5714	0.4286	search	search
2017-05-03	Central America	127	76	0.3701	0.6299	primary links	primary links
2017-05-03	Central Asia	32	19	0.1562	0.8438	search	search
2017-05-03	Eastern Africa	48	33	0.4583	0.5417	search	search
2017-05-03	Eastern Asia	255	114	0.5804	0.4196	search	search
2017-05-03	Eastern Europe	314	138	0.5064	0.4936	search	search
2017-05-03	Melanesia	1	1	0	1	NA	NA
2017-05-03	Middle Africa	172	158	0.6105	0.3895	search	search
2017-05-03	Northern Africa	189	152	0.3968	0.6032	search	search
2017-05-03	Northern America	3298	1071	0.7083	0.2917	search	search
2017-05-03	Northern Europe	916	193	0.405	0.595	search	search
2017-05-03	South America	219	130	0.4521	0.5479	primary links	primary links
2017-05-03	South-Eastern Asia	368	256	0.375	0.625	search	search
2017-05-03	Southern Africa	62	46	0.3065	0.6935	search	search
2017-05-03	Southern Asia	343	254	0.3994	0.6006	search	search
2017-05-03	Southern Europe	211	71	0.5071	0.4929	search	search
2017-05-03	Western Africa	67	52	0.4478	0.5522	primary links	search
2017-05-03	Western Asia	232	124	0.2716	0.7284	search	search
2017-05-03	Western Europe	680	190	0.5382	0.4618	search	search
2017-05-04	Australia and New Zealand	91	28	0.6593	0.3407	search	search
2017-05-04	Caribbean	43	26	0.6047	0.3953	search	search
2017-05-04	Central America	116	74	0.3017	0.6983	search	search
2017-05-04	Central Asia	30	23	0.3667	0.6333	search	search
2017-05-04	Eastern Africa	75	60	0.52	0.48	search	search
2017-05-04	Eastern Asia	241	86	0.5643	0.4357	search	search
2017-05-04	Eastern Europe	367	124	0.4223	0.5777	search	search
2017-05-04	Melanesia	4	4	0.25	0.75	other projects	other projects
2017-05-04	Middle Africa	174	161	0.5747	0.4253	search	search
2017-05-04	Northern Africa	193	158	0.3161	0.6839	search	search
2017-05-04	Northern America	3529	1074	0.6591	0.3409	search	search
2017-05-04	Northern Europe	942	189	0.4108	0.5892	search	search
2017-05-04	South America	228	118	0.4123	0.5877	search	search
2017-05-04	South-Eastern Asia	382	250	0.3063	0.6937	search	search
2017-05-04	Southern Africa	41	26	0.2683	0.7317	search	search
2017-05-04	Southern Asia	402	297	0.3955	0.6045	search	search
2017-05-04	Southern Europe	236	69	0.3983	0.6017	search	search
2017-05-04	Western Africa	55	47	0.4182	0.5818	search	search
2017-05-04	Western Asia	241	144	0.2822	0.7178	search	search
2017-05-04	Western Europe	676	166	0.5429	0.4571	search	search
2017-05-05	Australia and New Zealand	113	50	0.5752	0.4248	search	search
2017-05-05	Caribbean	29	18	0.5172	0.4828	search	search
2017-05-05	Central America	107	62	0.3645	0.6355	search	search
2017-05-05	Central Asia	26	19	0.2308	0.7692	primary links	primary links
2017-05-05	Eastern Africa	57	54	0.3509	0.6491	search	search
2017-05-05	Eastern Asia	225	77	0.5244	0.4756	search	search
2017-05-05	Eastern Europe	274	116	0.4526	0.5474	search	search
2017-05-05	Melanesia	1	1	1	0	search	search
2017-05-05	Micronesia	1	1	1	0	search	search
2017-05-05	Middle Africa	159	145	0.5912	0.4088	search	search
2017-05-05	Northern Africa	184	149	0.4185	0.5815	search	search
2017-05-05	Northern America	3203	1099	0.7178	0.2822	search	search
2017-05-05	Northern Europe	851	191	0.4195	0.5805	search	search
2017-05-05	Polynesia	1	0	1	0	search	search
2017-05-05	South America	227	128	0.3921	0.6079	search	search
2017-05-05	South-Eastern Asia	359	260	0.3538	0.6462	search	search
2017-05-05	Southern Africa	60	49	0.35	0.65	secondary links	search
