date	region	sessions	mobile	ctr	bounce_rate	first_action	last_action
2017-05-02	Everyone else	4735	2229	0.4701	0.5299	search	search
2017-05-02	United States	3289	1094	0.7303	0.2697	search	search
2017-05-03	Everyone else	4675	2184	0.4665	0.5335	search	search
2017-05-03	United States	3066	998	0.7058	0.2942	search	search
2017-05-04	Everyone else	4835	2134	0.4364	0.5636	search	search
2017-05-04	United States	3279	1015	0.6624	0.3376	search	search
2017-05-05	Everyone else	4439	2147	0.4472	0.5528	search	search
2017-05-05	United States	2983	1029	0.7154	0.2846	search	search
2017-05-06	Everyone else	4261	2264	0.4278	0.5722	search	search
2017-05-06	United States	2419	1054	0.6995	0.3005	search	search
2017-05-07	Everyone else	4327	2281	0.4393	0.5607	search	search
2017-05-07	United States	2644	1192	0.6936	0.3064	search	search
2017-05-08	Everyone else	4752	2246	0.4621	0.5379	search	search
2017-05-08	United States	3412	1159	0.743	0.257	search	search
2017-05-09	Everyone else	4647	2064	0.4569	0.5431	search	search
2017-05-09	United States	3114	995	0.7341	0.2659	search	search
2017-05-10	Everyone else	4578	2081	0.4602	0.5398	search	search
2017-05-10	United States	3111	947	0.7146	0.2854	search	search
2017-05-11	Everyone else	4572	2098	0.4661	0.5339	search	search
2017-05-11	United States	3177	993	0.7296	0.2704	search	search
2017-05-12	Everyone else	4553	2168	0.4492	0.5508	search	search
2017-05-12	United States	3132	1034	0.7104	0.2896	search	search
2017-05-13	Everyone else	4261	2163	0.4248	0.5752	search	search
2017-05-13	United States	2478	1056	0.6881	0.3119	search	search
2017-05-14	Everyone else	4454	2385	0.4551	0.5449	search	search
2017-05-14	United States	2484	1115	0.7041	0.2959	search	search
2017-05-15	Everyone else	4741	2218	0.4708	0.5292	search	search
2017-05-15	United States	3325	1130	0.7305	0.2695	search	search
2017-05-16	Everyone else	4803	2183	0.4497	0.5503	search	search
2017-05-16	United States	3146	1018	0.7292	0.2708	search	search
2017-05-17	Everyone else	4959	2130	0.4336	0.5664	search	search
2017-05-17	United States	3367	1072	0.6712	0.3288	search	search
2017-05-18	Everyone else	4639	2079	0.4598	0.5402	search	search
2017-05-18	United States	3302	1119	0.7371	0.2629	search	search
2017-05-19	Everyone else	4541	2152	0.4358	0.5642	search	search
2017-05-19	United States	2997	1029	0.7294	0.2706	search	search
2017-05-20	Everyone else	4304	2181	0.4231	0.5769	search	search
2017-05-20	United States	2294	1000	0.704	0.296	search	search
2017-05-21	Everyone else	4415	2304	0.4421	0.5579	search	search
2017-05-21	United States	2621	1211	0.7062	0.2938	search	search
2017-05-22	Everyone else	4768	2122	0.452	0.548	search	search
2017-05-22	United States	3221	1113	0.7392	0.2608	search	search
2017-05-23	Everyone else	4750	2094	0.4674	0.5326	search	search
2017-05-23	United States	3136	1002	0.7344	0.2656	search	search
2017-05-24	Everyone else	4645	2090	0.4592	0.5408	search	search
2017-05-24	United States	3123	1108	0.7333	0.2667	search	search
2017-05-25	Everyone else	4452	2026	0.4248	0.5752	search	search
2017-05-25	United States	3068	1017	0.7366	0.2634	search	search
2017-05-26	Everyone else	4294	2027	0.435	0.565	search	search
2017-05-26	United States	2766	993	0.7364	0.2636	search	search
2017-05-27	Everyone else	4103	2129	0.409	0.591	search	search
2017-05-27	United States	2323	1060	0.7094	0.2906	search	search
2017-05-28	Everyone else	4202	2162	0.4438	0.5562	search	search
2017-05-28	United States	2295	1093	0.7168	0.2832	search	search
2017-05-29	Everyone else	4561	2086	0.4731	0.5269	search	search
2017-05-29	United States	2680	1173	0.7313	0.2687	search	search
2017-05-30	Everyone else	4631	2114	0.4608	0.5392	search	search
2017-05-30	United States	3257	1111	0.7439	0.2561	search	search
2017-05-31	Everyone else	4432	2016	0.4792	0.5208	search	search
2017-05-31	United States	2964	981	0.7429	0.2571	search	search
2017-06-01	Everyone else	4371	2152	0.4779	0.5221	search	search
2017-06-01	United States	2813	940	0.7508	0.2492	search	search
2017-06-02	Everyone else	4207	2076	0.454	0.546	search	search
2017-06-02	United States	2783	967	0.7287	0.2713	search	search
2017-06-03	Everyone else	3862	2095	0.4588	0.5412	search	search
2017-06-03	United States	2234	1008	0.7126	0.2874	search	search
2017-06-04	Everyone else	4082	2206	0.4606	0.5394	search	search
